S.NO,Hindi Poetry,English Poetry
,"तोड़ पर्वतों को, चट्टानों को सरिता की धार","Breaks the mountains, through the rocks, the flow of the river"
,"बहती मैदानों में, करती धरती का शृंगार।","Moves to the fields, beautifying the earth."
,"रुकती पल भर भी न, विफल बाँधों के हुए प्रयास,","It will not stop for a moment, it will not stop,"
,क्योंकि स्वयं पथ निर्मित करने का उसमें विश्वास।,Because it believes in making its own way.
,लहर लहर से उठता हर क्षण जीवन का संगीत,"Every wave rises with the music of life every moment,"
,"मन के हारे हार सदा रे, मन के जीते जीत॥","Those defeated in mind will always be defeated, victors in mind will always win.."
39,"सान्ध्य गगन की छाया जल पर फैली हलकी हलकी,","The shadow of the evening sky spread lightly on the water,"
,बीते की चित्रित सुधि ज्यों मेरे मानस में झलकी!,As if the painted memories of the past were reflected in my mind!
,"यह पावस की साँझ, गगन नारंगी, भू हरियाली—","This dewy evening, the sky orange, the earth green—"
,ऐसे में क्यों मुझे याद आयेगी बीते कल की!,"In such a situation, why would I remember yesterday?"
40,"रात का अंधेरा जब छा जाता है,","When the darkness of night spreads,"
,नींद की चादर हमें घेर लेती है।,The blanket of sleep wraps around us.
,"दिल के कोने में छुपे सपने,","Dreams hidden in the corners of our hearts,"
,अपनी दुनिया में हमें ले जाते हैं।,Take us to their own world.
,"आसमान में तारे झिलमिलाते हैं,","Stars twinkle in the sky,"
,हमारी उम्मीदें आसमां छू जाती हैं।,Our hopes touch the heavens.
,"हर एक सपना एक नया रंग लाता है,","Every dream brings a new color,"
,जिंदगी के कैनवास को सजाता है।,Adorning the canvas of life.
,"कभी हंसते, कभी रोते हैं हम,","Sometimes we laugh, sometimes we cry,"
,सपनों के संग-संग चलते हैं।,We walk along with the dreams.
,"मन की उड़ान में खो जाते हैं हम,","We lose ourselves in the flight of the mind,"
,सपनों की दुनिया में बसते हैं।,Dwelling in the world of dreams.
41,आसमान में इस आधे-अधूरे चाँद के साथ,With the coming of half-made moon in the sky
,दिल के दर-ओ-दीवार में दर्द उतर आया हैं।,Pain has invaded each wall and corner of my heart.
,ज़िन्दगी की इस दरहम – बरहम महफ़िल में,In the helter-skelter gathering of life
,गर्दिश-ए-आफत में,In the movements of adversities and calamities
,बेवफ़ाई-हा-ए-याराँ में,In the inconstancies of beloved
,मेरा चैन कहीं खो गया हैं।,my peace has been lost somewhere.
,इन रंजिशों के शोर में,In the noises of sorrows and grief
,तेरी गुलाबी चूड़ियों का,the song of your tinkling rosy bangles
,रात की तेरी लोरियों का,the song of your night time lullabies
,संगीत कही खो गया हैं।,has been lost somewhere.
,"आज रात फिर तेरी यादों का भवर, माँ","Again tonight, an eddy of your memories, mother"
,मेरे इन आँसुओ में उतर आया है।,whirls through my tears.
42,आज रात मेरी यह ख़ामोशी उसे सुना देना,Let him hear my silence tonight
,कुछ ना सुने तो आंसू से फैली श्याही दिखा देना,Show these tear-stained pages if he will not hear
,मैं तो घायल हू दी गई उसकी खता से,"He is the cause of this, my plight"
,तुम जुर्म इ-मोहब्बत के कुछ फ़साने सुना देना,Sing of this cursed love into his ear
,आज रात मेरी यह ख़ामोशी उसे सुना देना।,Let him hear my silence tonight.
,आज रात मेरी यह ख़ामोशी उसे सुना देना,O let him hear my silence tonight
,लगी हो अगर उसके भी दिल में आग,"And if he too burns as I do, here"
,तुम मेरे पुराने खतों से भुजा देना,Use my love letters to smother the fire bright
,ख़त अब जो ना लिख सके उसे अल्विदा का,"I couldn’t say, “Goodbye, may your future be fair”"
,तुम इन सिसकियों का गीत सुना देना,"Sing him of sorrow, of the tear stained night"
,आज रात मेरी यह ख़ामोशी उसे सुना देना।,"Oh, let him just hear my silence tonight!"
43,"चाँदनी रात में चमकता तारा,","Star shines in moonlight night in,"
,"रात की ख़ामोशी, दिल को भाता प्यारा।","Silence of night , pleases dear to heart."
,"फूलों की खुशबू, हवा में तैरती,","Fragrance of flowers, floating in air,"
,"सपनों की दुनिया, आँखों में खेलती।","Dreams' world, playing in eyes."
,"हर तारा, एक कहानी सुनाता,","Every star, tells a story,"
,"चाँद के संग, प्रेम का गीत गाता।","With moon, sings the love songs."
44,हम पंछी उन्मुक्त गगन के,"We are birds of the sky,"
,पिंजरबिद्ध न गा पाऍंगे,we cannot sing in a cage.
,कनक-तीले से ब्लॉककर,"When golden bars collide,"
,पुलकित पंख टूट जाएंगे।,our delicate feathers are broken.
,हम बहता है जल पीनेवाले,We drink running water. 
,मर जायेंगे लिटरेचर-प्यासे,We are dying of hunger and thirst. 
,कहीं भली है कटुक निबोरी,Better to be bitter marjoram 
,कनक-कटोरी की मैदा से।,than a bowl of gold.
,स्वर्ण-श्रृंखला के बंधन में,"Living in slavery to these golden chains, "
,"अपनी गति, उड़ान सब भूले",we forgot our speed and flight. 
,बस सपने में देख रहे हैं,Now we only dream of 
,तारो की फुनगी पर के झूले।,swinging on the branches of saplings.
,ऐसे थे अरमान की उड़ते,We wanted to fly 
,नील गगन की सीमा पाए,across the border of the blue sky 
,लाल किरण-सी चोंच खोल,and open our young beaks 
,चुगते तारक-अनार के दानें।,to suck the bright red pomegranate seeds.
,संबंधित सीमा क्षितिज से,"At the horizon of the limitless, "
,इन गुफाओं की होड़ा-होड़ी,our wings would have won. 
,या तो क्षितिज मिलन बन जाती है,Either we touched the horizon 
,या तांती सन्सों की डोरी।,or we were out of breath.
,"नीड़ न दो, चादर ताहनी का",Do not offer a nest and even tree branches
,आश्रय छिन्न-भिन्न कर डालो,can be destroyed.
,लेकिन पन्ने नीचे हैं तो,"But when we have given wings,"
,आकुल उड़ान में विघ्न न डालो।,do not hinder our free flight..
45,"विश्व की पुकार है, ये भागवत का सार है","This is the call of the world, this is essence of Bhagwat "
,कि युद्ध ही तो वीर का प्रमाण है,That war is the proof of bravery
,जो लड़ सका है वही तो महान है,"who can fight ,obviously he is great"
,"हित-वचन नहीं तूने माना,","You does not accpect good promise,"
,"मैत्री का मूल्य न पहचाना,","why you not reconize the value of friendship,"
,"तो ले, मैं भी अब जाता हूँ,","see, i will leave now"
,अन्तिम संकल्प सुनाता हूँ,"listen my last resolution,"
,"याचना नहीं, अब रण होगा,","no pleading,it time of war"
,जीवन-जय या कि मरण होगा,life will be victory or death.
46,पृथ्वी कहती धैर्य न छोड़ो,"The earth says don't lose patience,"
,"कितना ही हो सिर पर भार,","no matter how heavy the burden is on your head,"
,नभ कहता है फैलो इतना,the sky says spread so much
,ढक लो तुम सारा संसार!,that you cover the whole world.
47,"हरी हरी खेतों में बरस रही है बूंदे,","In the green fields, the raindrops are falling,"
,"खुशी खुशी से आया है सावन,","With joy, the monsoon has arrived,"
,भर गया खुशियों से मेरा आंगन।,My courtyard is filled with happiness.
,"ऐसा लग रहा है जैसे मन की कलियां खिल गई,","It feels as if the buds of my heart have blossomed,"
,"ऐसा आया है बसंत,","Spring has come like this,"
,लेकर फूलों की महक का जशन।,Bringing the celebration of the fragrance of flowers.
48,"बचपन के वो दिन थे सुहाने,","Those childhood days were wonderful,"
,खेलते थे हम सारे दीवाने।,We played without any worry.
,"माँ की ममता, पिता का प्यार","Mother's love and father's care,"
,सपनों का था संसार विशाल।,Made our dreams big and bright.
,"दोस्तों संग हँसी-खुशी के पल,","Happy times with friends,"
,वो यादें आज भी करती हैं छल।,Those memories still make us smile.
,"सादगी में थी बसी ख़ुशहाली,","In simple things, we found joy,"
,बचपन की वो बातें अब हैं निराली।,Now those childhood stories are unique.
49,"चाहे धूमिल तू कर मुझको, लिख ऐसा इतिहास",You may write me down in history
,"विकृत और विषपूर्ण छलावे, जिसमे करें वास।","With your bitter, twisted lies,"
,"दबा बोझ से कंधे मेरे, फेंक जुल्मी जाल",You may trod me in the very dirt
,"कुचल जाने पर भी उड़ेगी, ये धूल सी चाल।","But still, like dust, I'll rise."
,"देखो तुम बेबाक मुझे यूँ, औरों के समान",Does my sassiness upset you?
,"पीड़ित है क्यों दिल ये तेरा, अटकी रे क्यूँ जान?",Why are you beset with gloom?
,"व्यथित न हो देख मेरा हर्ष, देख मेरी शान",’Cause I walk like I've got oil wells
,"इतराऊं जैसे घर मेरा, है रतन की खान।",Pumping in my living room.
50,"वृक्ष हों भले खड़े,","The trees may stand tall,"
,"हो घने, हो बड़े,","Be dense and grand,"
,एक पत्र छाह भी,But not a single leaf's shade
,"मांग मत, मांग मत, मांग मत.  ","Ask not, ask not, ask not"
51,अगर तू है मेरे साथ तो हर पल बसंत है,If you are with me then everyo moment is spring
,वरना मेरी पीर का ना कोई भी अंत है,Otherwise there is no end to my pain
,हर बार ये मौसम यही सन्देशा देता है,Every time this season gives me the same message 
,प्रेम के भीतर ही बसा आनंद अनंत है।,Within love joy resides infinite
52,"एक ऊंची लहर आती है,","A big wave comes,"
,"साथ बर्बादी लाती है,","Brings destruction with it,"
,"पीछे तबाही का मंजर छोड़,","Leaves behind the destrutive view,"
,"साथ सबकुछ ले जाती है,","Takes everything with it,"
,"गगन चुम्भी इमारते,",Buildings that touches the sky
,"ये विशाल विशाल पेड़,",These huge trees
,"कल तक मेरे सामने,",Till tomorrow in front of me
,"बनते थे जो शेर,",Acted like a lion
,"हिम्मत उनकी भी हार जाती है,",They also loose courage 
,"जब एक ऊंची लहर आती है,",When a big wave comes
,"चाचा के चाय दूकान का तम्बू उड़ने लगता है,","Uncle's tee shop tent pole starts blowing,"
,"सागर का खारा पानी,",Salty water of the sea
,"जब हिचकोले लेने लगता है,",when it's start to vibrate
,"आसमां को छूती पर्वत श्रृंखलायें भी डर जाती है,","Even the mountains touching the sky gets scared,"
,"जब एक ऊंची लहर आती है,",When a big wave comes
,"मौतों की मौजो पे बैठ,","When he starts to hesitate,"
,"वो सबको गले लगाती है,",It's hugs everyone
,"एक ऊंची लहर आती है,",A big wave comes
,जो सुनामी कहलाती है।,Which is called Tsunami
53,मै यादो की किताब़ खोलू तो,"If I open the book of memories,"
,"क़ुछ हसते गाते चेहरें नज़र आते हैं,",Some smiling singing faces I see
,गौर से देख़ा तो क़ुछ दोस्त पुरानें याद आतें है।,When I see carefully I remember some old friends 
,क़ुछ शहरो के गुलाम हो गये,Some are slave of citys
,तो क़ुछ सपनो के गुलाम हो गयें।,Some are slave of dreams
,यादे और गहरीं हुईं तो,When memorys become deeper
,"गुलाल मे रंगें कुछ चेहरें याद आतें हैं,",I remember some faces painted gulal 
,गौर से देख़ा तो कुछ दोस्त पुरानें याद आतें हैं।,When I see carefully I remember some old friends 
,"धूल को उडते और, ब़ारिश की बूदों को टपक़ते देख़ा तो,",When seeing the dust flying and rain drops falling
,क़ुछ दोस्त पुरानें याद आते हैं।,I recall some old friends
,यादो की किताब़ के कुछ पन्नें पलटे तो,When I turned the pages of book of memories 
,"खट्टें-मीठें बेर और स्कूल कें दिन याद आ गयें ,",I remembered sweet and sour plums and school days.
,क़ुछ दोस्त पुरानें याद आते हैं।,I remember some old friends.
